"dfs"	"alt"	"slo"	"flo"	"pH"	"har"	"pho"	"nit"	"amm"	"oxy"	"bdo"
"dfs"	1	-0.941022189323802	-0.75572859106953	0.949041736137878	0.0047265598210709	0.697903321366588	0.477897357782785	0.746719363680045	0.408665093444602	-0.510353958593723	0.395737040987625
"alt"	-0.941022189323802	1	0.76376732022463	-0.869269142478458	-0.0372693822939519	-0.744811672400649	-0.442049137273083	-0.760545931653765	-0.381323304664286	0.361904006326921	-0.33784819657115
"slo"	-0.75572859106953	0.76376732022463	1	-0.715711427752225	-0.27091451111409	-0.65375106459284	-0.403767995661807	-0.610879840412657	-0.351440241353332	0.463708347289596	-0.317090047053992
"flo"	0.949041736137878	-0.869269142478458	-0.715711427752225	1	0.0204253772968714	0.69678409576795	0.38528235792489	0.607072315819878	0.294908598573842	-0.357894680225984	0.253205340418484
"pH"	0.0047265598210709	-0.0372693822939519	-0.27091451111409	0.0204253772968714	1	0.0888689749106849	-0.0832395034642314	-0.0488784871658726	-0.124120548643201	0.177002932694309	-0.15181289939419
"har"	0.697903321366588	-0.744811672400649	-0.65375106459284	0.69678409576795	0.0888689749106849	1	0.363798106312034	0.510735258654358	0.290744489575394	-0.38239140186186	0.344966364032136
"pho"	0.477897357782785	-0.442049137273083	-0.403767995661807	0.38528235792489	-0.0832395034642314	0.363798106312034	1	0.800250651248394	0.969521478328629	-0.723692410405217	0.885536926771486
"nit"	0.746719363680045	-0.760545931653765	-0.610879840412657	0.607072315819878	-0.0488784871658726	0.510735258654358	0.800250651248394	1	0.797685451577718	-0.629072909743284	0.642281558795842
"amm"	0.408665093444602	-0.381323304664286	-0.351440241353332	0.294908598573842	-0.124120548643201	0.290744489575394	0.969521478328629	0.797685451577718	1	-0.720814593753927	0.885798497430181
"oxy"	-0.510353958593723	0.361904006326921	0.463708347289596	-0.357894680225984	0.177002932694309	-0.38239140186186	-0.723692410405217	-0.629072909743284	-0.720814593753927	1	-0.843121094396746
"bdo"	0.395737040987625	-0.33784819657115	-0.317090047053992	0.253205340418484	-0.15181289939419	0.344966364032136	0.885536926771486	0.642281558795842	0.885798497430181	-0.843121094396746	1
